id,task,expected_answer
1,17×24,408
2,25×36,900
3,144÷12,12
4,Если поезд проезжает 60 км за 1 час сколько он проедет за 2.5 часа?,150
5,В комнате 5 кошек каждая кошка видит ещё 4 кошек. Сколько всего кошек в комнате?,5
6,У Маши было 10 конфет она съела половину и ещё 2 отдала подруге. Сколько осталось?,3
7,Чему равен квадратный корень из 144?,12
8,Сколько будет 0.1 + 0.2?,0.3
9,Если сегодня понедельник какой день недели будет через 100 дней?,среда
10,У тебя есть вёдра 3 и 5 литров. Как отмерить ровно 4 литра?,налить 5 - перелить в 3 - останется 2 - вылить 3 - перелить 2 в 3 - налить 5 - перелить в 3 - останется 4
11,Продолжи последовательность: 1 11 21 1211 111221 ____,312211
12, Среднее арифметическое 10 20 и x равно 25. Найдите x,45
13,5 машин делают 5 деталей за 5 минут. За сколько минут 100 машин сделают 100 деталей?,5
14,Как из восьми восьмёрок получить 1000?,888+88+8+8+8
15,Улитка ползёт по столбу 10 метров. За день +3, за ночь -2. На какой день будет на вершине?,8
16,Площадь квадрата 49. Чему равен периметр?,28
17,Отцу 40 лет сыну 10. Через сколько лет отец будет в 3 раза старше сына?,5
18,Сколько целых чисел между 1.5 и 7.8?,6
19, Поезд длиной 200 м едет со скоростью 20 м/с. За сколько секунд он проедет мост длиной 300 м?,25
20,Бутылка с пробкой стоит 11 рублей. Бутылка на 10 рублей дороже пробки. Сколько стоит пробка?,0.5
21,Расставь знаки между цифрами 1 2 3 4 5 6 7 8 9 чтобы получилось 100,123-45-67+89
22,За сколько минут пожарить 3 блина если на сковороду влезает 2 а каждая сторона жарится 1 минуту?,3
23,Две монеты в сумме дают 3 рубля. Одна из них не рубль. Какие это монеты?,2 и 1
24,В посёлке рыцари (всегда говорят правду) и лжецы (всегда лгут). Первый говорит: "Я лжец или второй рыцарь". Кто они?,оба рыцари
25,Есть 10 мешков монет. В одном все фальшивые (легче на 1 грамм). Настоящая весит 10 г. Как за одно взвешивание найти фальшивый мешок?, Взять из первого мешка 1 монету, из второго 2, из третьего 3, ..., из десятого 10. Взвесить все эти монеты вместе. Если бы все монеты были настоящими, общий вес был бы 550 г. Фальшивые монеты легче на 1 г каждая. Разница между 550 г и реальным весом покажет номер фальшивого мешка. Например, если вес 546 г, разница 4 г — фальшивый 4-й мешок.
26,Продолжи ряд: 2 5 10 17 __,26
27,Если число делится на 6 и на 10 то оно всегда делится на 60?,нет
28,Найти площадь треугольника со сторонами 3 4 5.,6
29,Три коробки: на первой написано "яблоки" на второй "апельсины" на третьей "смесь". Все надписи неверны. Из какой коробки достаточно взять один фрукт чтобы определить содержимое всех коробок?,Из коробки с надписью "смесь". Так как надпись неверна, там лежат только яблоки или только апельсины. Если достали яблоко, значит эта коробка — яблоки. Тогда коробка с надписью "апельсины" не может быть апельсинами и не может быть яблоками (они уже в первой), значит там смесь. Оставшаяся — апельсины.
30,В игре три двери. За одной машина за двумя другими козы. Ты выбираешь одну дверь. Ведущий который знает где машина открывает другую дверь с козой. Затем предлагает тебе изменить выбор на оставшуюся закрытую дверь. Стоит ли менять дверь и почему?,Да, стоит. Вероятность выиграть машину при смене двери — 2/3, а если остаться при своём выборе — 1/3. Потому что изначально вероятность угадать машину — 1/3 (коза в 2/3 случаев). Ведущий всегда открывает дверь с козой, поэтому в 2/3 случаев оставшаяся дверь — это машина.

